Type,Class,Name,Description,Resistant to:,Flavor text,Pos,Neg
Event,,Change in health,"Move any opportunistic microbe from beneficial to pathogen, or vice versa ",,Waiting in the wings…,0,0
Event,,Change in health,"Move any opportunistic microbe from beneficial to pathogen, or vice versa ",,Waiting in the wings…,0,0
Event,,Change in health,"Move any opportunistic microbe from beneficial to pathogen, or vice versa ",,Waiting in the wings…,0,0
Event,,Change in health,"Move any opportunistic microbe from beneficial to pathogen, or vice versa ",,Waiting in the wings…,0,0
Event,,Change in health,"Move any opportunistic microbe from beneficial to pathogen, or vice versa ",,Waiting in the wings…,0,0
Event,,Change in health,"Move any opportunistic microbe from beneficial to pathogen, or vice versa ",,Waiting in the wings…,0,0
Event,,Tetracycline,"Target player may remove a non-tetracycline resistant pathogen of their choice, and loses half of the non-tetracycline resistant microbes in their beneficial zone (rounded up) and 2 health",,"A once widely-used antibiotic, resistance is now common",0,-2
Event,,Tetracycline,"Target player may remove a non-tetracycline resistant pathogen of their choice, and loses half of the non-tetracycline resistant microbes in their beneficial zone (rounded up) and 2 health",,"A once widely-used antibiotic, resistance is now common",0,-2
Event,,Tetracycline,"Target player may remove a non-tetracycline resistant pathogen of their choice, and loses half of the non-tetracycline resistant microbes in their beneficial zone (rounded up) and 2 health",,"A once widely-used antibiotic, resistance is now common",0,-2
Event,,Kanamycin,"Target player may remove a non-kanamycin resistant pathogen of their choice, and loses half of the non-kanamycin resistant microbes in their beneficial zone (rounded up) and 2 health",,"A widely-used antibiotic, produced by Streptomyces kanamyceticus",0,-2
Event,,Kanamycin,"Target player may remove a non-kanamycin resistant pathogen of their choice, and loses half of the non-kanamycin resistant microbes in their beneficial zone (rounded up) and 2 health",,"A widely-used antibiotic, produced by Streptomyces kanamyceticus",0,-2
Event,,Kanamycin,"Target player may remove a non-kanamycin resistant pathogen of their choice, and loses half of the non-kanamycin resistant microbes in their beneficial zone (rounded up) and 2 health",,"A widely-used antibiotic, produced by Streptomyces kanamyceticus",0,-2
Event,,Ampicillin,"Target player may remove a non-ampicillin resistant pathogen of their choice, and loses half of the non-ampicillin resistant microbes in their beneficial zone (rounded up) and 1 health",,An antibiotic from the penicillin family,0,-1
Event,,Ampicillin,"Target player may remove a non-ampicillin resistant pathogen of their choice, and loses half of the non-ampicillin resistant microbes in their beneficial zone (rounded up) and 1 health",,An antibiotic from the penicillin family,0,-1
Event,,Ampicillin,"Target player may remove a non-ampicillin resistant pathogen of their choice, and loses half of the non-ampicillin resistant microbes in their beneficial zone (rounded up) and 1 health",,An antibiotic from the penicillin family,0,-1
Event,,Microbial Diversity,"If you have at least 4 microbes in your beneficial zone, remove a microbe from your pathogen zone",,There appears to be a correlation between diversity of microbiota and health,0,0
Event,,Microbial Diversity,"If you have at least 4 microbes in your beneficial zone, remove a microbe from your pathogen zone",,There appears to be a correlation between diversity of microbiota and health,0,0
Event,,Go to work sick,Lose 2 health and give a microbe from your pathogen zone to target player,,Stay home!,0,-2
Event,,Go to work sick,Lose 2 health and give a microbe from your pathogen zone to target player,,Stay home!,0,-2
Event,,Airplane trip,Each player passes one microbe in play to the player on their left,,Sharing is caring,0,0
Event,,Airplane trip,Each player passes one microbe in play to the player on their left,,Sharing is caring,0,0
Event,,Raid the pharmacy,"Search the deck for an antibiotic (tetracycline, kanamycin, or ampicillin).  Shuffle the deck afterwards",,We're not suggesting you do this…,0,0
Event,,Raid the pharmacy,"Search the deck for an antibiotic (tetracycline, kanamycin, or ampicillin).  Shuffle the deck afterwards",,We're not suggesting you do this…,0,0
